;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;интенет-анализ;Unnamed: 10
5315;84401;174900;51430676;174863;25106701;2015-03-16 16:44:45;ты за меня не решай. Так кто же это? Фамилию и имя приведи.;0;;П3;4.0
5316;84402;174901;51430676;174863;25106701;2015-03-16 16:45:33;[id41491268|Софрон], не поверишь, Цапок даже в твоих любимых США есть;0;;И4;4.0
5317;84403;174902;51466400;174863;25106701;2015-03-16 16:47:21;[id255727208|Улечка], у вас нет разума, кроме того, вы дурно воспитаны и неспособны видеть ничего кроме собственного мнения. Вы тп, быдло. Запомните, раз и навсегда: единственная твёрдая истина - что не существует твёрдых истин. Хотя сомневаюсь, что вы способны это уразуметь по выше изложенным причинам. );0;;н3, л3, ж3;4.0
5318;84404;174903;147633360;174863;25106701;2015-03-16 16:48:40;[id51466400|Сергей], демократия это избранное общество , раб голос не имеет он животное;0;;С3;3.0
5319;84405;174904;255727208;174863;25106701;2015-03-16 16:49:28;[id51466400|Сергей], ахахахаха! И это мне пишет мч?? Там где вы воспитывались я преподавала!;1;;н3;4.0
5320;84406;174905;51430676;174863;25106701;2015-03-16 16:50:27;[id41491268|Софрон], что и требовалось доказать. Ты обычный лжец. Жалко таких;0;;щ3;4.0
5321;84407;174906;51466400;174863;25106701;2015-03-16 16:53:22;[id147633360|Геннадий], хах. Вы полагаете? То есть хозяева - это демократы, а все остальные - рабы. Неплохо, весьма неплохо, по вашему, демократия без рабов и рабства невозможна. Любопытное наблюдение. );0;;Ш3;4.0
5322;84408;174907;157230410;174863;25106701;2015-03-16 16:54:42;;1;;;
5323;84409;174908;51466400;174863;25106701;2015-03-16 16:54:53;[id255727208|Улечка], мч? Слишком легко вы соскочили на гендерную тему. Хотя вам можно, вы девушка - имеете право. );0;;Ч3,В3;4.0
5324;84410;174910;139681464;174863;25106701;2015-03-16 16:58:01;[id41491268|Софрон], в США президента выбирает не народ, а 13 выборщиков. Кто и как их назначает большая тайна.<br>Выборы несут консультативную функцию для выборщиков. Они могут согласиться с большинством народа или нет.<br>За Буша младшего на выборах проголосовало меньшинство. Но выборщики решили что народ ошибается и Буш младший остался на второй срок.<br><br>ЭТО ДЕМОКРАТИЯ!???;0;;И4;4.0
5325;84411;174911;255727208;174863;25106701;2015-03-16 17:00:11;[id51466400|Сергей], оооо, ну вы по себе то не судите! Мч!;0;;п3;4.0
5326;84412;174912;147633360;174863;25106701;2015-03-16 17:01:47;[id51466400|Сергей], это исторически отражается , а не я так думаю;0;;П3;4.0
5327;84413;174913;51466400;174863;25106701;2015-03-16 17:05:00;[id147633360|Геннадий], свобода - абсолютная ценность. Самое поганое слово на свете -  господин  (избранный), потому что если есть господин - обязательно есть и раб. А это несвобода.;0;;Ч3;4.0
5328;84414;174914;51466400;174863;25106701;2015-03-16 17:06:46;[id255727208|Улечка], вы само очарование. Но всё же лучше избегайте разговоров на темы, в которых вы ничего не понимаете. :);0;;д3, р3;4.0
5329;84415;174915;147633360;174863;25106701;2015-03-16 17:11:05;[id51466400|Сергей], а ты о демократии думаешь что то другое ,?<br>Изучи Рим, кто были граждане , а кто скот и глянь что сеется за демократией сегодня , на пример Каддафи;0;;р3,И4;4.0
5330;84416;174916;255727208;174863;25106701;2015-03-16 17:13:25;[id51466400|Сергей], да, да, это в первую очередь вас касается! Можете удалится, я разрешаю! Или удавится как вам будет удобней.;0;;о3,С3;4.0
5331;84417;174918;147633360;174863;25106701;2015-03-16 17:19:43;[id51466400|Сергей], что Православие , что Ислам говорят :нет власти кроме Божьей .<br>То есть любая власть не от Бога;0;;И4;4.0
5332;84418;174919;259370857;174863;25106701;2015-03-16 17:25:37;Да пошли они нахуй со своей демократией сраные гомосеки;0;;г4, л4;4.0
5333;84419;174926;63054132;174863;25106701;2015-03-16 17:39:28;Избави нас Бог от ВАШИХ  демократических  ценностей и тройных стандартов!!!;0;;Ц3;3.0
5334;84420;174927;67267874;174863;25106701;2015-03-16 17:43:12;Вот и ладненько-мы к ним не лезем, и они пусть к нам не лезут);0;;з4;3.0
5335;84421;174931;181267488;174863;25106701;2015-03-16 17:49:10;[id147633360|Геннадий], Демократия - это хаос.;0;;И4;2.0
5336;84422;174934;275665455;174863;25106701;2015-03-16 17:53:00;Пошлите на @уй со своей дерьмократией! У России свой путь! http://vk.com/photo-25106701_356613021;0;;л4;3.0
5337;84423;174939;14721989;174863;25106701;2015-03-16 18:04:46;[id275665455|Влад], у россии свой путин. а вот насчет пути - не уверен;0;;П4;4.0
5338;84424;174941;275665455;174863;25106701;2015-03-16 18:06:55;[id14721989|Евгений], а зачем не уверен?;0;;а3;4.0
5339;84425;174942;275665455;174863;25106701;2015-03-16 18:07:51;Евгений, ну тогда тебе в пиндостан;0;;л3;4.0
5340;84426;174943;267294;174863;25106701;2015-03-16 18:13:38;Это логично;0;;В3;4.0
5341;84427;174945;113525872;174863;25106701;2015-03-16 18:25:15;#106<br>Сколько двойников у путина и чем они все заняты?<br>1-й двойник ездит за рубеж. <br>2-й двойник сидит в Кремле.<br>3-й разводит догов Лабрадоров.<br>4-й ходит у Кремля фотографируясь с туристами за 1000 р. <br>(пополняя бюджет)<br>5-й всё отрицает.<br>6-й построил Сочи.<br>7-й присвоил Крым.<br>8-й болеет гриппом.<br>9-й всех  мочит в сортире .<br>10-й проводит важные и не очень встречи.<br>11-й дружит с Кадыровым.<br>12-й светится в СМИ. <br>13-й про запас. <br>14-й умер вчера.<br>15-й замещает 16-го.<br>17-й сидит с дочками.<br>18-й влюблён в Кабаеву.<br>19-й на фотосессиях.<br>20-й учит английский.<br>21-й ушёл в отставку.<br>22-й мечтает о четвёртом сроке.<br>156-й сошёл с ума.<br>157-й носит фамилию Гиваргис Шали Пенди.<br>158-й сват 88-му.<br>159-й строит пентхаус на Мали.<br>160-й словесно воюет с коррупцией.<br>161-й хоккеист.<br>162-й самбист.<br>163-й поёт и играет на фортепиано.<br>164-й так и остался жить в Берлине.<br>165-й  нянька  у Януковича.<br>166-й не дружит с Бараком.<br>167-й в восковом музее.<br>168-й лучший друг Путина.<br>169-й отпущен по амнистии.<br>170-го пригласили в четверг на собеседование. <br>171-й еще не родился.<br>А Настоящий раз в год появляется на прямой линии с народом.<br><br>#107<br>Кремль охраняют вооружённые невидимые гномы. <br>В ночь убийства Немцова, у гномов была тупо попойка.;0;;ш4;4.0
5342;84428;174953;147633360;174863;25106701;2015-03-16 18:37:15;[id181267488|Виктория], это не хаос , это порядок.)))<br>У нас не гласная, но демократия !)))<br>Кто то обвиняет людей в том что бараны плохо живут .;0;;Ш3;4.0
5343;84429;174965;14721989;174863;25106701;2015-03-16 18:44:42;[id275665455|Влад], соси вату;0;;л3;4.0
5344;84430;174969;275665455;174863;25106701;2015-03-16 18:48:55;[id14721989|Евгений], иди на три буквы, пропиндоская шлюха;0;;л3;4.0
5345;84431;174971;14721989;174863;25106701;2015-03-16 18:50:35;[id275665455|Влад], посмотри в зеркало чтобы узнать, как шлюхи выглядят;0;;л3;4.0
5346;84432;174997;22229939;174863;25106701;2015-03-16 19:35:22;Я думаю нет никакого смысла ссориться. Господам либералам открыт целый мир. Там найдется место каждому. Главное уе**айте поскорее из России. Желательно в свободную украину. По чем там бензин нынче в свободной украине ?? 60 рублей за литр кажется )));2;;с3;4.0
5347;84433;175088;41491268;174863;25106701;2015-03-17 06:08:19;[id139681464|Александр], Да плевать на США! У них свой закон и они действуют в соответствии с ним. А у нас законы даже не действуют. Тем более там выбираются представители всех ветвей власти от шерифа да судей!;0;;Ч4;4.0
5348;84434;175182;50216703;174863;25106701;2015-03-17 10:46:31;Весьма недурственная статья, я удивлен. Приходит прозрение, что с Россией невозможно бодаться, с ней нужно считаться?;0;;в2,Х4;3.0
5349;84435;175228;51466400;174863;25106701;2015-03-17 13:32:00;[id255727208|Улечка], ну вы животное - это очевидно. ТП. Впрочем, я вам уже это говорил. :);0;;л3;4.0
5350;84436;175229;255727208;174863;25106701;2015-03-17 13:39:01;[id51466400|Сергей], я вам уже тоже говорила что вы МЧ и вы существо у которого нет ни чего и ни кого, в общем самая обычная инфузория??  В прочем у вас есть шанс выжить даже без мозга ?? http://vk.com/photo-25106701_356690585;0;;л3;4.0
5351;84437;175231;51466400;174863;25106701;2015-03-17 13:50:07;[id255727208|Улечка], думайте что хотите - вы всё равно тп. );0;;л3;4.0
5352;84438;175232;51466400;174863;25106701;2015-03-17 13:56:05;[id147633360|Геннадий], ты о чём толкуешь? Религия - инструмент власти. И напротив, все религии говорят что любая власть - от Бога. На протяжении почти всей человеческой истории Бог (служители культа) и был властью. Учи историю, изучай человеческую цивилизацию. И зачем ты мне-то это всё пишешь? Не нужно транслировать свои заблуждения мне - я тебя обучать не намерен. );0;;Н3, г3;4.0
5353;84439;175233;255727208;174863;25106701;2015-03-17 14:07:34;[id51466400|Сергей], я не только думать умею в отличии от вас без мозгового и бесхребетного существа МЧ! ??;0;;е1, л3;4.0
5354;84440;175235;51466400;174863;25106701;2015-03-17 14:15:16;[id255727208|Улечка], мч - это молодой человек. Спасибо за комплимент. ) И когда вы пытаетесь кого-либо оскорбить - вы унижаете себя же. Но вы тп - вам этого не понять. :);0;; п3,Л3;4.0
5355;84441;175237;255727208;174863;25106701;2015-03-17 14:20:23;[id51466400|Сергей], судя по вашем комментариям ко мне, вы себя так унижает, так унижаете что ниже уже и не куда?? Так что именно вас легко можно отнести к ТП!;0;;Ч3;4.0
5356;84442;175239;147633360;174863;25106701;2015-03-17 14:27:34;[id51466400|Сергей], Учить ? <br>Профессор просим;0;;ш3;4.0
5357;84443;175241;51466400;174863;25106701;2015-03-17 14:33:36;[id255727208|Улечка], да вообще-то я просто развлекаюсь беседою с вами. Мне сразу всё было ясно, с первых ваших слов. Тем более сейчас весна, а у вас давно не было мужчины. Надо вас отодрать хорошенько - и вы сразу подобреете. :D Ну и потом, я не пытался вас оскорбить ни разу, лишь констатировал факты, а правда не может быть оскорблением.;0;;е1,  С3;4.0
5358;84444;175261;255727208;174863;25106701;2015-03-17 14:49:08;[id51466400|Сергей], вы сказочный идиот! Я давно таких не встречала?? И поверьте если у вас с сексом проблемы это не значит что они есть у других. Ну вообще у кого что болит тот о том и говорит, у вас видимо больное место в районе ширинки!;0;;л3;4.0
5359;84445;175505;194283754;174863;25106701;2015-03-17 21:39:45;До них поздно но доходит . http://vk.com/photo194283754_350166027;0;;И4;4.0
