;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;интент-анализ;Unnamed: 10
6406;69952;192752;44929181;191793;25106701;2015-05-04 11:28:04;[id212553600|Дмитрий], да, ты прав, вон как запад загнивает, что в Балтиморе то творится!!! Балтимор, мы с вами!!!! А госдолг то какой!!!! Не ну ты видел? Сами загнивают, а еще и санкции вводят!!!!! Так еще и демократию свою никому не нужную всему миру навязывают!!!!!! Я вообще считаю, что английский язык надо запретить на законодательном уровне запретить. Ато становятся тут умными и уезжают туда загнивать!!!! Во всех наших бедах США виноваты и только они!!!!;0;;Ц4;3.0
6407;69953;192769;212553600;191793;25106701;2015-05-04 11:46:08;[id44929181|Дамир], пусть живут как хотят, я одного не пойму почему они о нас помнят, наша экономика это 1% их экономики, т.е наш ВВП в сто раз меньше, наша экономика разрушена сСанкциями, Обама победил, одно не понятно... Зачем им вообще о нас помнить, нас нет. Нету. Забудьте о нас и живите счастливо. Рвите на куски Ливию, Ирак, Египет залете кровью, Сирию наконец начните демократить, ведь вам так и хочется БОМБАМИ ее БОМБАМИ )))))))))) что у них дел нет что ли? Ни чего не понимаю. ?? ??;0;;Н1,Т4;4.0
6408;69954;192799;44929181;191793;25106701;2015-05-04 12:17:36;[id212553600|Дмитрий], ты чего это Россию нашу обижаешь? Не 1%, а 12,5%!!!!! Мы великая держава!!!! И живем мы богато, вон девушка сверху все правильно говорит, когда предлагает сравнить цены с Украиной после госпереворота и с гражданской войной. Можно еще с Монголией или Эфиопией сравнить цены. Кузькина мать всегда на их демократию найдется!!! Да кому эта власть народа нужна?! Только предателям и 5 колонне!!! Еще и ПРО свои ставят!!!! Забыли видимо, что это наши деды победу одержали, вступили в середине и довольные. Ну просили мы их, ну и что? Сами бы справились!!! Ух, сволочи, зла на них нету!!!!;0;;Т3,Ц3;4.0
6409;69955;192800;212553600;191793;25106701;2015-05-04 12:21:29;[id44929181|Дамир], что ж ты шкура не уедешь, туда где шкурные интересы блюдут? ?? Что ж ты желудок с глазами маешься? ?? Езжай и забудь Рашку, и убеди забыть нас США. Убеди их что Рашка в жопе и на нас не стоит обращать внимания. Будь правильной шкурой. ??;1;; л3, с3;4.0
6410;69956;192805;44929181;191793;25106701;2015-05-04 12:27:15;[id212553600|Дмитрий], правильно говоришь!!! Правильно!!! Всех, кто мыслит не так как ты, надо выгонять и оскорблять, мол они шкуры!!! Потому что у нас в стране может быть только одна точка зрения, да, твоя!!!;0;;Ц3;4.0
6411;69957;192806;44929181;191793;25106701;2015-05-04 12:28:15;[id87898626|Оля], такой смешной статус) ты сама этот каламбур намутила?);0;;а3;4.0
6412;69958;193017;87898626;191793;25106701;2015-05-04 19:43:52;[id44929181|Дамир], ну тогда смешно Дж.Буш сказал...а до него Толстой...они такие  смешные  в отличие от тебя))) Хоть чем-то себя проявили, а ты???;0;;С3;4.0
6413;69959;193029;44929181;191793;25106701;2015-05-04 21:45:36;[id87898626|Оля], давай начнем с Буша, в английском мир как состояние при котором нет войны - peac, а мир в значении планеты - world. Лев, а, скорее всего, ты именно про него говоришь, если не уточнила, был убежденным космополитом и противником патриотизма, поэтому, интересно было бы узнать еще и контекст в котором это было сказано. Твое  сперва добейся  (ну  как себя проявил  - подтип) существует только в вашей системе координат, для меня это не аргумент, иначе мы никого не можем оценивать, из тех, кто успешнее нас.;0;;ж3 ;4.0
6414;69960;193030;87898626;191793;25106701;2015-05-04 21:49:10;[id44929181|Дамир], А к чему мне Буша обсуждать? ЗАЧЕМ? Ну сказал и всё....Про Толстого забыл, кстати...;0;;Ж3, з3;4.0
6415;69961;193031;44929181;191793;25106701;2015-05-04 21:54:20;[id87898626|Оля], я лишь к тому, что ты пиздишь, что автором этого каламбура был Буш, ибо он в их языке невозможен. Да и Толстой эту фразу если и мог применить в своем произведении, то явно не в хорошем свете.;0;;т3, ж4;4.0
6416;69962;193032;87898626;191793;25106701;2015-05-04 21:55:41;[id44929181|Дамир], а кто был  автором каламбура ?;0;;а3;4.0
6417;69963;193033;87898626;191793;25106701;2015-05-04 21:56:47;[id44929181|Дамир], поди-ка украинцы)));0;;ш3;4.0
6418;69964;193034;87898626;191793;25106701;2015-05-04 22:01:04;ты, Дамик, мне историю не пересказывай по  НОВО-УКРАИНСКИ ...ТАМ ХЕРНЯ всё...Я хорошо в школе училась, а ты?;0;;г3, е1, а3;4.0
6419;69965;193035;212553600;191793;25106701;2015-05-04 22:09:48;[id44929181|Дамир], нет, только тех кто мыслит как шкура. ??;0;;а3;4.0
6420;69966;193036;44929181;191793;25106701;2015-05-04 22:16:45;[id87898626|Оля], бля, при чем тут украинцы? При чем тут новоукраинская история? Нахер ты это сюда привязываешь?);0;;Т3,Л3;4.0
6421;69967;193037;44929181;191793;25106701;2015-05-04 22:17:34;[id212553600|Дмитрий], кульминация) а что значит  мыслить как шкура ?);0;;а3;4.0
6422;69968;193038;212553600;191793;25106701;2015-05-04 22:21:24;[id44929181|Дамир], это значит как ты — отключить мозг. ??;0;;Т3;4.0
6423;69969;193039;44929181;191793;25106701;2015-05-04 22:32:11;[id212553600|Дмитрий], не, Дим, не в том настроении, ты не объективен, иди нахуй?? а лучше посмотри на своего коллегу выше);0;;Л3;4.0
6424;69970;193040;212553600;191793;25106701;2015-05-04 22:34:13;[id44929181|Дамир], объективен, или ты думал долбясь в жопу что останешься прав? Нет. Есть понятия добра и зла и даже если ты пиццот миллиардов раз скажешь что долбиться в очко для тебя добро, добром это не станет. Вот и всё. ??;0;;Л3;4.0
6425;69971;193042;44929181;191793;25106701;2015-05-04 22:47:37;[id212553600|Дмитрий], не, ну это уже совсем грустно выходит, я бы даже сказал обидно, даже когда ты про ввп сказал не так обидно было(;0;;Ч3;4.0
6426;69972;193043;212553600;191793;25106701;2015-05-04 22:50:48;[id44929181|Дамир], пидара может обидеть только норма. ?? Только норма заставляет пидара извиваться так как будто его жарят на сковородке. Добро мучает пидаров вроде тебя. Но виновато ли добро в этом? Нет. Подумай над этим.;0;;Т3,Л3;4.0
6427;69973;193045;44929181;191793;25106701;2015-05-04 23:11:45;[id212553600|Дмитрий], ты начинаешь утомлять( серьезно;0;;г3 ;4.0
6428;69974;193047;212553600;191793;25106701;2015-05-04 23:13:27;[id44929181|Дамир], это потому что я несу добро, а ты.. нехороший человек. ?? И еще потому что у тебя маленький мозг, это видно по твоим фото, по типу лица. Ты - вырожденец. ??;0;;О1,Л3;4.0
6429;69975;193048;44929181;191793;25106701;2015-05-04 23:15:13;[id212553600|Дмитрий], опять чет мимо, давай еще добродетель;0;;н3;4.0
6430;69976;193049;212553600;191793;25106701;2015-05-04 23:17:55;[id44929181|Дамир], да ладно, пусть народ (кто разбирается) сами оценят прав ли я. ?? http://vk.com/photo-25106701_364150113 http://vk.com/photo-25106701_364150114;0;;е1 ;4.0
6431;69977;193050;212553600;191793;25106701;2015-05-04 23:19:15;[id44929181|Дамир], дрочишь небось? ?? На онаниста ОООЧЕНЬ похож. Женственный как петушок. ??;0;;л3;4.0
6432;69978;193051;44929181;191793;25106701;2015-05-04 23:20:26;[id212553600|Дмитрий], ай да к не покрытой голове, ай да в хуйне какой-то на голове, обычно еще фото с бабушкой и иракезом выкладывают;0;;н3;4.0
6433;69979;193052;212553600;191793;25106701;2015-05-04 23:21:26;[id44929181|Дамир], ты что заспотыкался? ?? Что занервничал-то, не бойся, я тебя не обижу. ??;0;;а3, ш3;4.0
6434;69980;193053;44929181;191793;25106701;2015-05-04 23:24:22;[id212553600|Дмитрий], бомбит у меня, безумно боммбит, давай, Дим, ты еще как нибудь да заденешь, да так чтоб прям за душу;0;;е1, с3;4.0
6435;69981;193055;212553600;191793;25106701;2015-05-04 23:35:31;[id44929181|Дамир], пфффф... словарный запас иссяк? Ну что ты прячешься за искусственным цинизмом, да еще так нелепо, посмотри на себя в зеркало, ты и так бесхарактерное чудо женоподобное, да еще увлекся либеральными идейками. На что ты похож? Какие у тебя цели? Зачем ты? Склонный к меланхолии и депрессиям петушок, любил поспорить раньше с учителями, но только с теми кто тебе это позволял. А я еще тебя шкурой назвал ))))) Шкура, это СЛИШКОМ многозначительно для тебя. )))) Шкура это какой нибудь боров лет сорока у которого пивко и бабло главные цели (эдакий оскотинившийся рвач) у тебя нет даже их. Ты бесхребетный, аморфный какй-то. Я сглупил что начал с тобой беседу. Извини если что. Ухожу. ??;0;;Т3, л3 , г3;4.0
6436;69982;193056;44929181;191793;25106701;2015-05-04 23:48:44;[id212553600|Дмитрий], ты уже уходишь? Буду скучать ?? однако, я все равно считаю тебя ватным долбаебом, который в корне не прав и как только ты осознал, что доебаться и задеть то не вышло, решил всеж съебаться в своем величии обратно) короче, цели мои наполеоновские, ибо юношеский максимализм и вся хуйня, а ты жалок в своем стремлении указать людям, которые с тобой не согласны, на их ничтожность) варварское, шовинистское, говно, которое очкует и поэтому прячется за фейком. ??;0;;л3;4.0
6437;69983;193058;212553600;191793;25106701;2015-05-04 23:54:31;[id44929181|Дамир], я не хочу указать тебе на твою ничтожность, ты сам знаешь что ничтожен иначе тебя не корчило бы от противоположных ничтожеству идей. Ты ничтожество потому что ведешь себя как ничтожество и имеешь ничтожное мировоззрение, а не потому что я нарисовал твой психологический портрет который тебя не устраивает. ?? Я не шутил когда сказал что жалею что начал с тобой разговор. Нужно было сначала глянуть что у тебя в голове и на твоё фото. А теперь отстань.;0;;л3, е1, г3;4.0
6438;69984;193059;44929181;191793;25106701;2015-05-05 00:00:39;[id212553600|Дмитрий], не уходи, постой, человек который долгое время меня пытался унизить, а теперь говорит, что не указывал на мою ничтожность. Чтобы выдать это за мои собственный мысли) даже после того как ты посмотрел мои фотки, ты продолжал свои попытки задеть за живое и не надо пиздеть, ты всего лишь ищешь оправдание и начал сливаться только тогда, когда я показал тебе все высоту колокольни, с которой я ссал на необоснованную критику и тебя.;0;;н3, е1;4.0
6439;69985;193060;212553600;191793;25106701;2015-05-05 00:02:11;[id44929181|Дамир], я не меряю высоту  колоколен  в интернете, дурачок. Отстань.;0;;е1, г3;4.0
