;ж4;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;Unnamed: 10
14;3849;5252;81603;2102258;81580;32803139;2015-04-16 13:19:00;[id19353280|Дмитрий], люди несовершенны. Но несовершенство человеческой натуры вообще и конкретного человека в частности не совсем наше дело. А вот низкая эффективность работы госорганов - вполне наше дело, как гражданских активистов.;0;Ч4;4
15;3850;5253;81604;2668694;81580;32803139;2015-04-16 13:56:00;[id684097|Захар], ну, я же не только редактор, я и читатель тоже. С левыми и правыми руками у нас все в порядке);0;К3,Ш3;4
16;3851;5254;81607;684097;81580;32803139;2015-04-16 20:39:00;[id2668694|Галина], т.е. как руководитель о новости Вы знали т.к. санкционировали ее появление, а как читатель искренне эмоционально отреагировали на ее прочтение уже со  стены  группы, теперь ясно);1;Ж2;4
17;3852;5255;81608;684097;81580;32803139;2015-04-16 20:46:00;[id2668694|Галина], вопросы как руководителю группы: в группе будет освещаться расправа с украинскими журналистами Бузиной и Калашниковым? Будет ли организовано возложение цветов и зажжение свечей у консульства Украины по погибшим журналистам?;0;А4;4
18;3853;5256;81609;2668694;81580;32803139;2015-04-16 20:51:00;[id684097|Захар], нет, освещения этой новости не будет, мы пишем о российских новостях или о новостях других стран, касающихся выборов.;0;Е3;4
19;3854;5257;81612;684097;81580;32803139;2015-04-16 22:47:00;[id2668694|Галина], неужели? только выборов?;0;А4;4
20;3855;5258;81613;684097;81580;32803139;2015-04-16 23:50:00;[id2668694|Галина], а как напрямую следующие новости связаны с выборами: новость от 31.03.15 20:30 об одиночном пикете в защиту  тангейзера , новость от 18.03.15 21.30 -новость о показе фильма  Корчак , новость от 8.03.15 17:48 о пикете в поддержку УКРАИНСКОЙ летчицы Савченко (живой и здоровой в отличии от Бузины),.... различные новости с Гон Конга, новости о фильме  Лакримоза , да те же самые события в Париже со взрывом редакции  Шарли  (там кстати тоже погибли журналисты). - получается все ЭТО на взгляд руководства группы - связано с выборами, а гибель Украинского журналиста много писавшего в том числе о политике, по мнению группы к выборам не имеет отношения? Галина, может я чего-то не понимаю, можете мне объяснить как ТАКОЕ возможно?;1;Т3;4
21;3856;5259;81614;5885516;81580;32803139;2015-04-16 23:54:00;[id684097|Захар], избирательный метод как характеристика идеологии оппозиции ??  другими словами - двойные стандарты ??;0;Т3;4
22;3857;5260;81615;2668694;81580;32803139;2015-04-16 23:56:00;[id684097|Захар], Вы невнимательно или слишком избирательно читаете мои предыдущие комментарии, например, вот этот: http://vk.com/wall-32803139_81580?reply=81593 О, а про Гонконг как раз думали написать, наш корреспондент сейчас снова там :);0;Ф4;4
23;3858;5261;81616;684097;81580;32803139;2015-04-17 00:04:00;[id2668694|Галина], а что я должен был из этого уловить? Этот ваш комментарий ровным счетом ничего не объясняет. Какие волшебные слова из поста, на который Вы, Галина, дали ссылку могут объяснить/показать наличие прямой связи между новостью о пикете в поддержку  тангейзера  и выборами? :);0;Т3;4
24;3859;5262;81617;2668694;81580;32803139;2015-04-17 00:10:00;[id684097|Захар], в этой группе это приходится объяснять время от времени, что ж, объясню еще раз. Если власть не избирается на честных выборах, а выборы служат лишь ширмой для реального назначения, то и отчитывается назначенное лицо перед своим начальником, а не перед избирателями. Такая система приводит к принятию глупых, непрофессиональных, волюнтаристских, а порой и преступных решений - только для того чтобы понравиться начальству, избиратели тут третьи лишние. Последствия такого подхода к выборам - это в том числе и приведенные Вами примеры, отраженные в наших постах. Неприятные и трагические ситуации случаются во всех странах и во всех обществах. Разные системы отличаются не ситуациями, а реакцией общества на них.;0;К3;4
25;3860;5263;81618;2102258;81580;32803139;2015-04-17 00:19:00;[id684097|Захар], в чем-то ты прав. Новость о Шарли не про выборы и не про РФ. Возможно, есть и другие новости, которые не подпадают под описание Галины. Но вот этот вопрос:   Будет ли организовано возложение цветов и зажжение свечей у консульства Украины по погибшим журналистам?  ровно так же к тебе, как и к руководству группы. Ты ровно так же можешь организовать возложение цветов. Лично я готов об этом твоём поступке, если ты сходишь, возложишь цветы и сделаешь фоторепортаж, написать на своей личной странице. И буду тебе сочувствовать в такой твоей акции.;0;З3,Р3;4
26;3861;5264;81619;19353280;81580;32803139;2015-04-17 01:23:00;[id2668694|Галина], нет правды в твоих словах, вы много писали об Украине в поддержку  демократической революции :<br> Новости короткой строкой: в этот раз всё опять про Украину  -<br>http://vk.com/wall-32803139_65513<br>http://vk.com/wall-32803139_67671<br>http://vk.com/wall-32803139_58672<br>http://vk.com/wall-32803139_59100<br>http://vk.com/wall-32803139_61306<br>и т.д.<br>Надеюсь, сейчас уже многие осознали, чем эта  демократия  является на самом деле, поэтому и писать о ней не особо хочется.;2;Т3;4
27;3862;5265;81621;19353280;81580;32803139;2015-04-17 01:35:00;[id2102258|Даниил], абсолютно с тобой согласен - люди несовершенны. Поэтому наше первое дело - совершенствование этой натуры, начиная с себя. Во-вторых, достижение образцовой эффективности работы нашей организации. Лишь затем появляется моральное право что-то указывать окружающим, в т.ч. госорганам.;0;П4;4
28;3863;5266;81623;19353280;81580;32803139;2015-04-17 01:50:00;[id684097|Захар], идея о возложении цветов хорошая, жаль, что идейных у нас много, а деятельных единицы. http://vk.com/photo-32803139_364931855;1;Ж4;4
29;3864;5267;81625;175118514;81580;32803139;2015-04-17 04:19:00;[id5156359|Геннадий], пакгауз бы того стоил, если бы его защитники на следующее же утро вернулись в него, как это предлагалось, заняли его обратно, поставили на место сломанные ворота и довели начатое дело до конца, отстояв этот сарай, если он им так дорог, тем более__в связи с арестом Левкина, тем более что меньше месяца оставалось до положительного решения вопроса. Но это вопросы к товарищу Яреме. <br>Левкин же просто  попал под раздачу , и, что особенно обидно, даже не попортив при этом ничей череп. Просто ни за что.;0;Ж4;2
30;3865;5268;81626;175118514;81580;32803139;2015-04-17 04:34:00;[id2102258|Даниил], вообще этот случай выявил прежде всего полную никчемность и беспомощность наших правозащитных сообществ и всей  прогрессивной общественности , до политиканов и депутатов включительно, которые и про узников 6 мая давно забыли, а на дело Левкина забили... с самого начала. Почти все, кроме разве активистов ГПЗ и их друзей.;0;Ч4;2
31;3866;5269;81627;175118514;81580;32803139;2015-04-17 05:04:00;[id19353280|Дмитрий], а это не анекдот. Это единственно правильное в такой ситуации поведение, только_в стиле анекдота_утрированно поданное. Хотя бы потому, что приди вдруг гражданин имярек с повинной, не факт, что Левкина оправдали бы. А уж Клебанова и ментов, уверенно клеветавших на Левкина, в том числе и этого недобитого терпилу, не посадили бы стопроцентно. Так что никто не должен подставляться, не говоря уже, что явка с повинной__это как сдача в плен, позорная капитуляция перед властями. Да и не преступление это: то что они сделали__с моральной точки зрения, а стало быть, и отвечать не за что. Но с точки зрения путинского закона__всё же статья УК. Поэтому правильно сделали, что не пошли на сотрудничество с властью. <br>Но вот то, что вся эта анархическая тусовка, придумав отмазку, фактически бросила Левкина в беде, не оказала нужной помощи__вот это уже редкостное(или банальное) шкурное свинство.;0;Б3, Ч4;2
32;3867;5270;81630;5156359;81580;32803139;2015-04-17 13:02:00;Короче,х@йня приключилась  не героическая;0;Ч4;3
33;3868;5271;81631;2102258;81580;32803139;2015-04-17 13:26:00;[id19353280|Дмитрий], «…наше первое дело - совершенствование этой натуры, начиная с себя. Во-вторых, достижение образцовой эффективности работы нашей организации. Лишь затем появляется моральное право что-то указывать окружающим, в т.ч. госорганам.»<br>Дима, это у тебя настолько ложный тезис, что мне будет очень трудно его комментитровать, избежав каких-то обидных для тебя реплик. Давай ты немного подумаешь и уточнишь, что же именно ты хотел сказать. Потому что получилась у тебя полная ерунда.;0;П3,Ч3;4
34;3869;5272;81637;19353280;81580;32803139;2015-04-17 17:56:00;[id2102258|Даниил], попробуй все-таки подумать и изложить свои доводы, избежав каких-то обидных для меня реплик. Это и станет первым делом, т.е. совершенствованием своей натуры) Я с удовольствием отвечу тем же);0;Р3;4
35;3870;5273;81638;2102258;81580;32803139;2015-04-17 18:07:00;[id19353280|Дмитрий], нет уж. Последуй сперва сам своему же совету. Усовершенствуй себя. Наберись смирения, терпения и попробуй повысить свои комуникативные навыки. Напиши более точно, доходчиво и аргументированно, чтобы исключить опасность того, что тебя неправильно поняли.;0;Б3, Р3;4
36;3871;5274;81639;19353280;81580;32803139;2015-04-17 18:09:00;[id2102258|Даниил], на нет и суда нет) Сегодня прочитал хороший совет, пожалуй, последую ему -<br>http://vk.com/wall-33440_42370 )));0;Г4;4
37;3872;5275;81640;2102258;81580;32803139;2015-04-17 18:17:00;[id19353280|Дмитрий], думаю, в твоем случае отсутствие готовности что-то писать свидетельствует о том, что ты сам понимаешь, что ерунду сморозил.;0;Н3;4
38;3873;5276;81650;684097;81580;32803139;2015-04-18 13:16:00;[id2102258|Данiилъ], смысл моих постов был не в том, чтобы привлечь или побудить группу/руководство группы/участников группы к проведению какой-то конкретной акции - это дело сугубо добровольное. А в том, чтобы, имея перед глазами конкретные примеры, задать вопрос об информационной политике группы, которая ведется таким образом, что количество участников группы - сокращается - следовательно информационная политика НЕ ЭФФЕКТИВНА. Как итог - группа превратится в некий междусобойчик (по сути она уже таковым является). Просто мне не понятна ситуация, когда указывая на слабые места, вместо того чтобы услышать:  спасибо будем исправляться , по большому счету на проблему закрывают глаза. Понятно же, что рано или поздно такое управление приведет к срыву проекта и дискредитации всего, что с ним связано. В таком случае у меня возникает вопрос о роли проекта (группа  НП ) и его руководства: 1) либо руководство работает на развитие оглашенной цели (честные выборы), а значит начинает вести эффективную информационную политику без двойных стандартов, предложением альтернативных мнений, в том числе и в новостной ленте. 2) либо проект создавался под конкретные цели, с конкретным идеологическим наполнением и руководство просто все это обслуживает.;0;Ч2;4
39;3874;5277;81658;2102258;81580;32803139;2015-04-19 17:57:00;[id684097|Захар], <br>Ох, долго отвечать... Ладно.<br> Ты являешься подписчиком этой  группы уже давно. Ты уже даже сам на  выборах был и своими глазами видел, как  происходят фальсификации. И сам уже  понял, кто фальсифицирует выборы в РФ.  Пора бы перестать уже искать в тех, с  кем ты не согласен, «агентов госдепа»  и прочих «национал-предателей».  <br>  <br>Новостная политика группы —  отдельный серьезный вопрос, который  вполне обсуждаем. Думаю, когда Галина  описывала принцип, по которому даются  новости, она была не совсем точна. Любая  новость может сюда попасть, если  редакторская группа сочтет, что новость  имеет какое-то отношение к честным  выборам в РФ. Скажем, новость про Шарли  — про наступление воинственного  религиозного фундаментализма на  светские гражданские свободы. Это очень  рифмуется с теми процессами, которые  идут в РФ. Именно гражданские свободы  являются важной предпосылкой для  честных выборов. К сожалению, в этом  направлении мы очень сильно потеряли  в последние годы. Вот поэтому про Шарли  мы писали. Это как пример. А вот какое  отношение к честным выборам в РФ имеют  убийства на Украине... Редакторская  группа решила, что прямого отношения  не имеют. Возможно, корректнее было  что-то написать об этом.  <br>  <br>Теперь относительно сокращения  числа подписчиков. Это не столько  следствие какой-то неправильной  информационной политики, на мой взгляд,  сколько отражение внешних процессов.  Например перед 14 сентября мы наблюдали  рост, а после выборов — падение. Есть  и иные процессы, которые на это влияют.  К тому же не уверен, что число подписчиков  — самый важный критерий. Это ведь не  самоцель.;0;Ж4,Д2;4
40;3875;5278;81661;19353280;81580;32803139;2015-04-19 20:15:00;[id2102258|Даниил], а убийство журналиста в Киеве за его убеждения и слова разве не рифмуется с наступлением воинствующего национализма на гражданские свободы? Налицо двойные стандарты.<br>Хорошо, что в Киеве еще остались настоящие либералы:  Печалит большое количество удовлетворенных убийством Бузины. Вот ждали-ждали, и наконец-то им достойную жертву вынесли. Вы же… тройку месяцев назад вопили в ФБ –  Я – Шарли . В Европе это подразумевало, что  Шарли  имеет свое право на мысли, как бы они кому ни были неприятны и даже оскорбляли. И за это нельзя убивать. А  Шарли  должно иметь право рисовать карикатуры на Пророка и Папу Римского. И такое же право имел Бузина на свои мысли, право на их выражение. Что же имеем на выходе? Кто-то получил право на расправу, а часть людей упивается этим. Сдается мне, не демократия это вовсе . http://www.rosbalt.ru/blogs/2015/04/19/1390227.html;0;Т4;4
41;3876;5279;81662;2102258;81580;32803139;2015-04-19 20:39:00;[id19353280|Дмитрий], возможно, ты прав и новость об этом была бы у нас уместна с соответствующими комментариями. Но, мне кажется, ты должен начать с себя,стать совершеннее и добродетельнее, и только тогда будешь иметь моральное право обвинять других в двойных стандартах. :));0;Ф3,П3;4
42;3877;5280;81663;684097;81580;32803139;2015-04-19 21:08:00;[id2102258|Данiилъ], вообще-то в моих постах ВООБЩЕ НЕТ таких терминов как «агент госдепа» и прочих «национал-предателей», это сугубо твои Даниил термины, я их не использую. И именно потому, что я давно являюсь подписчиком этой группы и дает мне основание делать выводы о пагубности информационной политики руководства группы для продвижения оглашенной цели -  честные выборы . Насчет сокращения членов группы - вообще-то это объективный показатель интереса к той информации, которая в группе распространяется, в том числе и не относящаяся напрямую к выборам.;0;Ф3, Ч2;4
43;3878;5281;81664;19353280;81580;32803139;2015-04-19 21:57:00;[id175118514|Аларих], спасибо за коммент. Мне кажется, что он лучшим образом показывает, как подобные этой группы, формирующие восприятие реальности в контексте  жуть , разжигают социальную ненависть среди участников, воспитывают в них правовой нигилизм в стиле  тварь ли я дрожащая, или право имею? . Доверчивые идеалисты довольно быстро превращаются в  бесов , для которых люди, исполняющие свой служебный долг, представляются  недобитыми терпилами , преступления против жизни и здоровья которых морально оправданны...<br> Поведение имярека я бы не назвал единственно правильным, скорее, целесообразным. Но и здесь важно, какие цели перед собой ставить и какими идеями руководствоваться. Если бы пришел с повинной, то для общества стала бы очевидной сфабрикованность обвинения, появился бы настоящий Герой, которых так не хватает сегодня... Да и какая целесообразность, когда вместо тебя сажают невиновного, а ты молчишь? Это не вопрос взаимоотношения с органами или с друзьями, это вопрос взаимоотношения с собой, со своей совестью, с богом в себе, остальное - декорации... Жаль... http://vk.com/audio2000475632_360196514;0;Ч3, П3;4
44;3879;5282;81672;2102258;81580;32803139;2015-04-19 23:50:00;[id684097|Захар], это термины того, кто нарисовал тебе аватарку. :)) В любом случае, спасибо за критику. Обращаю твоё внимание, что есть специальная тема для того, чтобы предлагать новости. Если тебе покажется, что есть что-то достойное публикации, что редакторская группа пропустила, предлагай к публикации;0;Х3,Р3;4
45;3880;5283;81683;175118514;81580;32803139;2015-04-20 20:35:00;[id19353280|Дмитрий], СОВЕСТЬ? О ней пусть Клебанов подумает, а не пострадавшие от него! Если этому  обществу  недостаточно тех фактов, которые уже имеются в наличие, то на его тугое соображение, а если быть совсем точным, то безразличие и лицемерие, уже ничего не повлияет. Даже если Вы лично вдруг застрелитесь в знак протеста)) Посадка невиновного целиком на совести суда и милицейских лжесвидетилей, ни на чьей больше. И Вы это понимаете не хуже меня, не надо притворяться.<br>Для того, чтобы воспринимать окружающую действительность с ненавистью и гневом, не обязательно читать какие-то группы, достаточно иметь глаза и уши и не сидеть всю жизнь под диваном. Только ненависть к конкретным ублюдкам, по недоразумению, а скорее по причине ущербности государственной системы нацепивших форму и дорвавшихся до должностей, выдавать за ненависть к целым социальным группам__Вам не кажется, что это слишком роскошно по отношению к таким выродкам? Это уже Ваши домыслы. Поменьше читайте и смотрите официозный агитпроп, а то начинаете говорить его штампами. А про  служебный долг  по обеспечению меркантильных интересов адамантовских барыг и по разгрому объектов культурного наследия__про это вообще нельзя читать без смеха.;0;К3, П4;4
46;3881;5284;81708;19353280;81580;32803139;2015-04-22 01:23:00;Аларих, читая Ваш праведный гнев, невольно вспоминаешь слова Померанца: «Дьявол начинается с пены на губах ангела, вступившего в бой за святое правое дело. Все превращается в прах – и люди, и системы. Но вечен дух ненависти в борьбе за правое дело. И благодаря ему, зло на Земле не имеет конца. С тех пор, как я это понял, считаю, что стиль полемики важнее предмета полемики».<br>Как бы не хотелось все свалить на Клебанова, Путина и т.п., от совести и от судьбы никуда не уйти, ведь  в судьбе человека все решает не социально-экономическая справедливость, а его личный нравственный и духовный выбор в каждый момент времени. И борьба здесь идет другая, как заметил персонаж, тоже невинно осужденный за убийство любимой женщины, Дмитрий Карамазов: «Тут дьявол с Богом борется, а поле битвы — сердца людей». http://expert.ru/expert/2015/15/tsar-gordetsov/?8;0;П4;4
47;3882;5285;81746;175118514;81580;32803139;2015-04-23 20:32:00;[id19353280|Дмитрий], из этого замечательного фильма я вывел единственный рефрен:  Надо меньше пить, пить надо меньше, пить меньше надо . <br>А всё остальное, кроме фильма__извините, абстрактная какая-то... поповщина.;0;Ч4;4
48;3883;5286;81750;19353280;81580;32803139;2015-04-24 01:31:00;[id175118514|Аларих], тогда предложу для осмысления фильм с похожим сюжетом, но с еще более жестким концом. Трезвый образ жизни не спас главного героя, так как рефрен здесь тот же -  в судьбе человека все решает не социально-экономическая справедливость, а его личный нравственный и духовный выбор в каждый момент времени .<br>http://www.kino-teatr.ru/kino/movie/ros/96838/online/ http://vk.com/video19353280_171831607;0;П4;4
49;3884;5287;81841;175118514;81580;32803139;2015-04-28 19:36:00;[id19353280|Дмитрий], всё решает правильный выбор оружия)));0;Ш4;4
