;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;intent;content
6809;31712;241252;139681464;241220;25106701;04.09.2015 15:56;[id304508594|Дервиш], мне кое что не нравиться в нашем ПЖ, но ругать главу своей страны это верх идиотизма. Это как поливать себя дерьмом. Он представляет меня перед всем миром. Ведёт переговоры, является главкомом моей армии. ??;1;Ф4,Д4;2
6810;31713;241253;3405720;241220;25106701;04.09.2015 16:02;Ага, если бы вы были президентами, то у вас были бы простецкие костюмы да дешевые часы. Дети учились бы в ПТУ, а жена отказывалась от бриллиантов и тайком продавала бы дареные вами шубы, чтобы купить еду бедным... ????????;4;Н3;4
6811;31714;241254;220037327;241220;25106701;04.09.2015 16:03;Все сразу побежали верить всему ,что говорят??????;0;Н3;4
6812;31715;241255;173507050;241220;25106701;04.09.2015 16:05;У меня такой же..??;0;Е1;4
6813;31716;241256;181102575;241220;25106701;04.09.2015 16:08;Завидуют злобные блогеры.;0;Ц3;4
6814;31717;241257;3989201;241220;25106701;04.09.2015 16:09;[id6125735|Andrew], ну в масштабах страны это МИЗЕРНЫЕ расходы. Гораздо больше должны напрягать миллиардные хищения, в банковском секторе, офшоризация промышленности, сама промышленная политика и те кто саботирует решения В.В. направленные на решение этих проблем! А массовая истерика по поводу часов за 500к и костюмчика за 200к это из серии околоподъездных бабушек! Отключите эмоции и включите мозг, а не наоборот!;2;Ж3,Р3;4
6815;31718;241258;231958090;241220;25106701;04.09.2015 16:12;Это президент, первое лицо нашей страны! Да он просто обязан достойно выглядеть всегда и везде. Кстати, отдать должное, человек имеет вкус, и не дает повода усомниться в этом.;1;И4,Х4;4
6816;31719;241259;4260767;241220;25106701;04.09.2015 16:13;[id231958090|Татьяна], а Сталин с Петром 1 значит были чмошники из подворотни без вкуса?;0;Ц3;4
6817;31720;241260;6125735;241220;25106701;04.09.2015 16:15;[id3989201|Максим], все эти вещи возмутительны, но это пост про костюм. кстати, у меня никаких истерик;0;Ф3;3
6818;31721;241262;181102575;241220;25106701;04.09.2015 16:15;[id304508594|Дервиш], Брежнев не мог в импортном костюмчике позировать, как глава соц.государства и лидер КПСС, но в гараже имел колекцию иномарок.;1;Щ4;4
6819;31722;241263;6125735;241220;25106701;04.09.2015 16:15;[id4260767|Андрей], ну у Петра золота было наверняка поболе;0;И4;4
6820;31723;241264;3989201;241220;25106701;04.09.2015 16:16;[id6125735|Andrew], я обращался скорее ко всем, а не лично.;0;Ф3;4
6821;31724;241265;217783472;241220;25106701;04.09.2015 16:16;http://vk.com/photo-25106701_377865500;0;Е1;4
6822;31725;241267;4260767;241220;25106701;04.09.2015 16:17;[id6125735|Andrew], так то да, только он о государстве больше заботился чем об олигархах, а так в чем одет глава государства говорит о том с кем он с народом или ворьем, тут все очевидно;0;Ф4;4
6823;31726;241269;304508594;241220;25106701;04.09.2015 16:19;[id139681464|Александр], а зачем ругать, надо критиковать и не беспочвенно. ??;0;А3;4
6824;31727;241271;23314759;241220;25106701;04.09.2015 16:20;[id217783472|Айал], какая чушь!;0;Г3;3
6825;31728;241273;23314759;241220;25106701;04.09.2015 16:21;Уже дошло до того, что считают, кто во что одет, вместо того, чтобы идти работать и зарабатывать самим.;2;Р3;4
6826;31729;241274;217783472;241220;25106701;04.09.2015 16:22;?;0;А3;4
6827;31730;241275;304508594;241220;25106701;04.09.2015 16:22;[id181102575|Юлия], заметьте - в государственном гараже и эта коллекция была госсобственностью, да и при Брежневе народ бомжами не был и из бачков с отходами еду не выбирал, да и детей бездомных не было.;0;Н4;4
6828;31731;241276;23314759;241220;25106701;04.09.2015 16:24;[id217783472|Айал], как предлагаете поднять цену на нефть, при этом не лишиться и тех доходов, что имеем сейчас? Да и зачем отдавать долю американцам?;0;А3;4
6829;31732;241277;217783472;241220;25106701;04.09.2015 16:25;так-то ты просто мудел! про юмор слышал? кур сру бля!;0;Ц3;4
6830;31733;241278;217783472;241220;25106701;04.09.2015 16:26;жираф;0;Л3;4
6831;31734;241280;217783472;241220;25106701;04.09.2015 16:27;достойно скрина;0;В3;4
6832;31735;241281;126189182;241220;25106701;04.09.2015 16:30;З - зависть;0;Н3;4
6833;31736;241282;23314759;241220;25106701;04.09.2015 16:33;[id217783472|Айал], аргументов море, что не удивительно ??;0;Ш3;4
6834;31737;241283;23314759;241220;25106701;04.09.2015 16:33;[id217783472|Айал], аргументов море, что не удивительно ??;0;Ш3;4
6835;31738;241284;217783472;241220;25106701;04.09.2015 16:34;пнх;0;Л3;4
6836;31739;241286;304508594;241220;25106701;04.09.2015 16:34;[id3989201|Максим], так эта капля и выливается в море коррупции, бюрократии , воровства и разгильдяйства, кол-во чиновников превосходит времена СССР в разы....;0;Т4;4
6837;31740;241290;181102575;241220;25106701;04.09.2015 16:44;[id304508594|Дервиш], я прекрасно помню те времена и никогда не поддерживала развалСССР потому что понимала, чем может обратиться крах такой махины, и то социальное бедствие, о котором вы пишете, это как раз последствия этого краха. Разрушить легко, построить труднее, тем более наши дерьмократы и не  знали, как и что будут строить. Надеялись, что заграница нам поможет, но они помогали только разрушать, поэтому сейчас мы имеем то, что имеем.;1;И4;4
6838;31741;241291;23314759;241220;25106701;04.09.2015 16:48;;0;Е1;4
6839;31742;241293;139681464;241220;25106701;04.09.2015 16:50;[id304508594|Дервиш], Доля ?бюджетников? в сфере госуправления не слишком высока ? при этом она быстро снижается. Большая часть ?путинской армии чиновников? на самом деле состоит из? врачей и учителей. Из 13 млн госслужащих учителей ? 5 млн человек, а врачей ? 4,5 млн. По количеству настоящих ?бюрократов? Россия сильно отстаёт от стран Западной Европы и находится примерно на уровне Японии и США.<br>http://www.awaragroup.com/upload/awara-study-russian-economy-rus.pdf;2;И4;4
6840;31743;241300;304508594;241220;25106701;04.09.2015 17:12;[id139681464|Александр], http://top.rbc.ru/economics/15/10/2014/543cfe56cbb20f8c4e0b98f2;0;И4;4
6841;31744;241316;32781941;241220;25106701;04.09.2015 18:27;Какой бред а не статья !;0;Ч2;3
6842;31745;241318;231958090;241220;25106701;04.09.2015 18:36;Андрей. Абсолютно ничего не могу сказать плохого о стиле Петра 1 и Сталина. Оба выглядели всегда соответственно их статусу.;0;Х4;4
6843;31746;241319;272083778;241220;25106701;04.09.2015 18:49;У Новального костюмчик спортивный 8тысяч евро!!!! А ВВП должен за штуку рублей ходить? Блин,а трусики господа хорошие не заценили сколько стоят у нашего президента?;1;Ц3;4
6844;31747;241321;304508594;241220;25106701;04.09.2015 19:30;[id272083778|Александр], http://og.ru/politics/2015/09/02/zhurnalisty-ocenili-stoimost-sportivnogo-kostyuma-putina-v-200-tysyach-rubley нашёл только это, а откуда вы взяли про спортивный костюм в ? 8000 ?;0;А3;4
6845;31748;241324;272083778;241220;25106701;04.09.2015 20:02;[id304508594|Дервиш], журналисты оценили!!!! У вас что журналисты в скупочных подробатывают??? Такая точность в оценке, поразительно.;0;Н4;2
6846;31749;241340;304508594;241220;25106701;04.09.2015 21:39;[id272083778|Александр], а вы откуда взяли инфу про ?  8000, сорока на хвосте принесла или бабушки на лавочке рассказали? ??;0;Ш3;4
6847;31750;241341;304508594;241220;25106701;04.09.2015 21:46;[id272083778|Александр], вот держите http://www.mrporter.com/en-ru/mens/loro_piana/silk-and-cashmere-blend-sweatpants/565594 http://www.mrporter.com/mens/clothing/knitwear/hooded?soldOutId=441737#top может себе что и подберёте. ??(думаю пенсия позволяет);0;Ш3;4
6848;31751;241470;272083778;241220;25106701;05.09.2015 22:37;[id304508594|Дервиш], вот не хотел отвечать,но.... Я вообще не понимаю кому интересно мусолить эту тему? Кто во что одет. А Обама,Меркель с Оландом..... Блин, глава государства не должен одеваться как обыватель, это моё мнение. Даже Параша, хотя это глава хунты,но и его одежду нет смысла обсуждать, баста.....;2;И4;3
6849;31752;241571;17308165;241220;25106701;07.09.2015 10:37;[id272083778|Александр], они в секонд хэндах закупаются :));0;Ш4;4
6850;31753;241814;272083778;241220;25106701;07.09.2015 16:19;[id17308165|Сергей], по-моему хоть во<br>секонд херендах , но обсуждать противно, согласись....;0;Г3;4
