;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;ИНТЕНЦИИ;
6539;83691;175571;46854192;175559;25106701;18.03.2015 8:36;значит, вырастет  брачный туризм  в соседние штаты.;1;;У4;3
6540;83692;175573;5649943;175559;25106701;18.03.2015 8:39;[id46854192|Юрий], разумно! А лоббировали принятие этого закона как раз владельцы гостиниц и брачных салонов ближайшего штата! )));4;;Ш4;4
6541;83693;175575;46854192;175559;25106701;18.03.2015 8:42;[id51941430|Александр], скорее наша проблема в том, что 80%, а может больше потомки рабов. Россия по сути уникальна тем, что правящий класс всегда относился к народу как к покоренным и завоеванным туземцам. Где еще в цивилизованных странах было крепостное право в том виде как у нас?? Ведь по сути основную часть населения росчерком пера сделали рабами. Говорящим орудием, как говорили Римляне. Отсюда и все проблемы.;0;;Т1;4
6542;83694;175576;176477073;175559;25106701;18.03.2015 8:42;Церковь будет получать свою  десятину  - за деньги любой брак одобрят.;1;;Ц4;4
6543;83695;175577;51941430;175559;25106701;18.03.2015 8:44;Крепостного права уже 150 лет как нет. Это не оправдание. США 230 лет. Рабство там отменено также 150 лет назад. Ну и?;1;;И4;4
6544;83696;175578;86137621;175559;25106701;18.03.2015 8:50;Ватники и мракбесы!!! Это опять Путен!;0;;Л4;4
6545;83697;175579;204855451;175559;25106701;18.03.2015 8:53;Я так понимаю, если перевести на наше, регистрации нет, только венчание.;2;;Ж2;3
6546;83698;175580;46854192;175559;25106701;18.03.2015 8:53;[id51941430|Александр], в штатах рабы - привезенные нигеры которых меньшинство. У нас раб - русский крестьянин. Которых было как минимум 70%. Плюс демографические изменения после Великой Октябрьской, когда масса бывших рабовладельцев была казнена или разбежалась. И мы получаем страну бывших рабов. Еще лет сто должно проити, что бы психология раба ушла из наших генов.;0;;У1;4
6547;83699;175581;58313034;175559;25106701;18.03.2015 8:58;[id51941430|Александр], думаешь случайно достаются плохие правители? Случайности не случайный, в гонке за лидерство все средства хороши. В революцию 17 года уничтожили основную часть интеллигенции и поставили идиотов им выгодных. А про то что какаем где едим это тоже не случайно, взгляните на большинство западных фильмов пропагандирующих западные  ценности  , которыми воспитывают большинство молодого поколения. Фактов бесконечно много;0;;Т1;4
6548;83700;175582;243778286;175559;25106701;18.03.2015 9:01;Лол, выше упрощенные ватники прочли новость о законах одного с десятков штатов и радостно раскудахтались сравнивая его с Россией ^^ Не удивлюсь если в убогих проватненных мозгах попросту не укладывается что в США каждый штат по сути является отдельной страной со своими законами/ наказаниями и т.д., выше которых только федеральные. Что в общем-то и является настоящей федерацией, в отличие от пародии которая  Российская .;1;;Т3;3
6549;83701;175586;2994035;175559;25106701;18.03.2015 9:22;Лучше б у нас ввели :);0;;Ш4;3
6550;83702;175587;7940380;175559;25106701;18.03.2015 9:33;[id46854192|Юрий], вы совершенно не понимаете разницы между крепостным правом и рабовладением.;0;;Н3;4
6551;83703;175589;5649943;175559;25106701;18.03.2015 10:02;[id7940380|Ольга], согласен, что видение может быть очень разным. <br>Наверняка есть какие-то нюансы и тонкие различия.<br><br>Но Герцен, Радищев, Чернышевский и многие другие представители российской элиты, интеллигенции, передовые люди своего времени видели крепостничество именно как  рабство . Даже шеф корпуса жандармов Беркендорф.;0;;Ф3;4
6552;83704;175590;91524080;175559;25106701;18.03.2015 10:28;Подискутировали сами с собой, диванные райнджеры Украины?! ))));0;;Ц3;4
6553;83705;175591;190617016;175559;25106701;18.03.2015 10:32;[id46854192|Юрий], потомки рабов? А в сегодняшней России нет рабства? <br><br>Например : Принудительная военная служба - это не рабство? Еще и бреют всех - как рабов.;0;;Щ4;4
6554;83706;175592;235920235;175559;25106701;18.03.2015 10:39;[id46854192|Юрий], вот не совсем согласна, до революции в России была церковно приходская школа, где обучались только мальчики и то не все. То есть страна практически была безграмотная,большой плюс социализма это грамотность населения, Америка например по грамотности населения на одном из последних мест. Поэтому вряд ли мы рабы, как нам пытаются навязать, инертны это да. Во власти случайных людей не бывает, как правило это марионетки, большая беда России, что в ней уничтожено дворянство, то есть настоящая элита, отсюда и все беды, причем целенаправлено уничтожена.;0;;П3;4
6555;83707;175593;235920235;175559;25106701;18.03.2015 10:41;[id190617016|Тимур], военная служба это долг перед отечеством и святая обязанность нормального мужика, другое дело должного порядка нет, ни в стране ни в армии.;0;;Ф3,О1;4
6556;83708;175594;190617016;175559;25106701;18.03.2015 10:43;[id235920235|Галина], Грамотность населения США составляет 99%. Женщина! Может быть вы лучше будете заниматься женскими делами. <br>https://ru.m.wikipedia.org/wiki/%D0%A1%D0%BF%D0%B8%D1%81%D0%BE%D0%BA_%D1%81%D1%82%D1%80%D0%B0%D0%BD_%D0%BF%D0%BE_%D1%83%D1%80%D0%BE%D0%B2%D0%BD%D1%8E_%D0%B3%D1%80%D0%B0%D0%BC%D0%BE%D1%82%D0%BD%D0%BE%D1%81%D1%82%D0%B8;0;;Ф3,Н3;4
6557;83709;175595;208285924;175559;25106701;18.03.2015 10:49;[id46854192|Юрий], может я открою для Вас америку,но крепостное право в разных его вариациях было во всех европейских странах,причем,к примеру,во Франции оно было гораздо более жестоким,чем у нас.Удар по европейскому рабству нанесла великая французская революция,а до этого жили одинаково.Лучше учите историю,прежде чем делать выводы.То,что у них все лучше сейчас,не значит что так было всегда.;2;;И3;4
6558;83710;175596;235920235;175559;25106701;18.03.2015 10:49;[id190617016|Тимур], murkella - США занимают 49 место в мире по грамотности населения<br>июл. 30, 2007 10:31 pm США занимают 49 место в мире по грамотности населения<br>- США занимают 49 место в мире по грамотности населения (The New York Times, Dec. 12, 2004). Не надо мне указывать чем мне заниматься, я не в парандже, лучше изучайте материалы и почаще слушайте Псаки, может научитесь самостоятельно делать выводы. Там даже сенаторы некоторые не видят различия и географического местонахождения Чечни и Чехии.;1;;Ф3,И4;4
6559;83711;175597;33918188;175559;25106701;18.03.2015 10:55;[id235920235|Галина],  святая обязанность нормального мужика  - и после такого вы требуете, чтоб вам не указывали, чем заниматься? лол, вы прям напрашиваетесь на паранджу;1;;С3;4
6560;83712;175598;7940380;175559;25106701;18.03.2015 10:57;[id5649943|Михаил], Герцен?Вы бы ещё Навального упомянули.Ну да ладно-я не говорила,что крепостное право это хорошо.Повторю ещё раз - разницы между крепостным правом и американским рабством вы не знаете,значит не сравнивайте.;0;;Ч3;4
6561;83713;175599;33918188;175559;25106701;18.03.2015 10:59;[id190617016|Тимур], все немного сложнее http://elementy.ru/news/431472;0;;Ч3;4
6562;83714;175600;25816820;175559;25106701;18.03.2015 11:01;на ИноСМИ открыли комменты. лол.;0;;Ц3;4
6563;83715;175601;16422772;175559;25106701;18.03.2015 11:04;Молодцы - живут, как считают правильным, а брачующимся несогласным, конечно, альтернативу надо, чтобы было куда маршировать - дворец бракосочетания :))) А, если серьезно, приемлемую альтернативу предоставить стоит.;0;;Х2,Х4,Ш4;2
6564;83716;175603;82562722;175559;25106701;18.03.2015 11:15;[id51941430|Александр], то что СССР был одной из двух сверх держав - это ты назывешь  вылезти из дерьма . У России был светлый период (СО СТОРОНЫ ИСТОРИИ) с 30х по 80е. А дальше союз рухнул и мы до сих пор огребаем последствия в науке, технологиях, образовании. <br>Во вторых, как  инертный ватный скот  связан с тем что ты пишешь? А белоленточники не гадят? Может они работают лучше? <br>Просто ушло идеологическое воспитание, ушёл контроль - вот и имеем жопку со всем.;0;;Щ4;4
6565;83717;175605;82562722;175559;25106701;18.03.2015 11:18;[id208285924|Руслан], удар по рабству, на самом деле, нанесло то что оно стало не выгодно, так как начался скачок  технического прогресса;0;;Ж4;4
6566;83718;175606;51941430;175559;25106701;18.03.2015 11:19;Тебе нужна сильная рука, которая будет управлять твоей жизнью? Сталин там, вот это всё. Союз был сверхдержавой, но какой ценой? Я уже написал, что те небольшие попытки вылезти из говна выдаются за великие достижения. Бомбу ядерную разработали в США, после чего СССР спешно догонял. В войне СССР смачно просрал в самом начале, хотя разведка усатенькому докладывала, что другой усатенький нападет. Итого 20 лямов потерь у ПОБЕДИТЕЛЕЙ и 10 у Германии за ВСЮ вторую мировую. И еще про лендлиз можно напомнить. Просеров у СССР было гораздо больше, но о них молчат в тряпочку. Я не русофоб, я просто объективен.;1;;Ф3;4
6567;83719;175607;202959370;175559;25106701;18.03.2015 11:19;Ну если рассуждать логично то Бог наверно и не предпологал что на земле будут людишки которые от его имени будут  казнить ведьм, заключать браки,собирать пожертвования. Ему нужно то было чтоб люди любили друг друга и по человечески относились друг к другу.;1;;П4;4
6568;83720;175609;82562722;175559;25106701;18.03.2015 11:32;[id51941430|Александр], ни херулички ты не объективен. Естественно Сталин знал о том что будет война, именно поэтому он пытался заключить соглашение м Францией и Англией. Но его кинули. Тогда он, чтобы оттянуть войну, делит Польшу с Гитлером. <br>А ещё, тут надо понимать что страна в говне. Дебильный царь, Революция, гражданская война. Последствие всего этого надо разгребать. А потом на  нихуя  пытаться строить хоть что-то. Учитывая,что страна у нас даже не Германия (по размеру). За 10лет она вылезла из говна и даже что то могла. Не была полностью готова к войне, но армия была боеспособна. Молодые офицеры сменили старых. Не на конях стали воевать(как предлогали некоторые) , а строить танки. Заводы. Технику. <br>И в итоге победили. А потом после войны сами себя востоновили, и были сверх державой. <br><br>(когда амереканцы делали ядерную бомбу мы воевали, и в итоге всё равно её сделали сами)<br>А спутник первый? а человек в космосе? А выход в открытый космос? А первая женщина космонафт?<br><br>Да нужен сильный лидер. И идеология. Только так. НИ ОДНА сильная страна не существует по другому.;3;;Р4,Л3,О1;4
6569;83721;175610;235920235;175559;25106701;18.03.2015 11:42;[id33918188|Алла], да неужели, я к вашему сведению военнообязанная и что это за мужик, который армии боиться не смешите меня, это только у хохлов есть привычка бегать от службы в АТО.;0;;Н3;4
6570;83722;175611;235920235;175559;25106701;18.03.2015 11:52;[id82562722|Oleg], все верно, потому, что у сильного всегда безсильный виноват!;0;;Ф4;4
6571;83723;175612;33918188;175559;25106701;18.03.2015 11:54;[id235920235|Галина], ну так и пишите -  святая обязанность нормального гражданина/ки . А то выходит, что только мужчины что-то должны государству. Что ж тогда должны невоеннообязанные женщины?;0;;Б3;4
6572;83724;175613;235920235;175559;25106701;18.03.2015 11:56;[id46854192|Юрий], позвольте вас спросить, а какие у вас корни, если крестьянские то вы бы так не рассуждали, эта революция была революцией студентов и рабочих, но не крестья, как говорила моя прабабка худшее крепостное право еачалось для них в 1922 году в период коллективизации, а царь кстати мужиков не трогал, плохо жили только лодыри.;0;;Н3;4
6573;83725;175614;235920235;175559;25106701;18.03.2015 11:57;[id33918188|Алла], мы все должны в первую очередь отечеству, чувствуете разницу между отечеством и государством, тогда и поймете меня.;1;;Р3;4
6574;83726;175615;33918188;175559;25106701;18.03.2015 12:02;[id235920235|Галина], ваше отечество не сумело выучить вас внятно выражаться на русском языке, понять вас довольно затруднительно в принципе;0;;Н3;4
6575;83727;175616;241392547;175559;25106701;18.03.2015 12:25;Опять все скатилось в комментах к тому что СССР круто а США ацтой...<br>Откуда же вы бл... летезете то!?;2;;Т3;4
6576;83728;175618;211154039;175559;25106701;18.03.2015 13:03;[id7940380|Ольга], такое подобное говорили уже дворяне перед революцией и остатками эмиграции.;0;;У4;4
6577;83729;175619;211154039;175559;25106701;18.03.2015 13:05;Урок истории: Монополия и её результаты.;0;;И4;4
6578;83730;175621;5649943;175559;25106701;18.03.2015 13:22;[id7940380|Ольга], американское рабство здесь ни при чем. Откуда вы его взяли? Почему именно Америка? Чем вам приглянулась эта страна?<br><br>И Навальный откуда взялся? Вы ставите его на одну планку с Герценом? Считаю, что сбрасывать со счетов РУССКУЮ интеллигенцию нельзя. Это не  кухонные интеллигенты , а люди, реально ставшие локомотивом русской нации - ее золотой фонд.;0;;И4,О1;4
6579;83731;175623;7940380;175559;25106701;18.03.2015 13:39;[id5649943|Михаил], Герцен из когорты навальных,если вы не знали.Колокол печатался на денежки Ротшильда,с которым Герцен активно общался.Фонд ваш- обычный наёмный борцун за фсё хорошее протиф всего плохого.Чуть поумнее Ахеджаковой.;0;;Н4,С3;4
6580;83732;175624;5649943;175559;25106701;18.03.2015 13:40;[id7940380|Ольга], ну а почему американское рабство?;0;;А3;4
6581;83733;175625;7940380;175559;25106701;18.03.2015 13:40;[id5649943|Михаил], потому что речь шла о нём;0;;Ж3;4
6582;83734;175626;5649943;175559;25106701;18.03.2015 13:40;[id7940380|Ольга], а почему навального считаете умнее ахеджаковой?;0;;Б3;4
6583;83735;175627;7940380;175559;25106701;18.03.2015 13:41;[id5649943|Михаил], может и глупее ??;0;;А3;4
6584;83736;175628;5649943;175559;25106701;18.03.2015 13:41;[id7940380|Ольга], а почему этот Фонд вдруг - наш?;0;;А3;4
6585;83737;175629;7940380;175559;25106701;18.03.2015 13:42;[id5649943|Михаил],   а люди, реально ставшие локомотивом русской нации - ее золотой фонд. ;0;;Х4;4
6586;83738;175630;5649943;175559;25106701;18.03.2015 13:42;[id7940380|Ольга], возвращаясь к теме крепостничества - вы приветствуете раздачу олигархам земли и приписки к этой земле крестьян? Это же не рабство.;0;;Ф3;4
6587;83739;175631;7940380;175559;25106701;18.03.2015 13:44;[id5649943|Михаил], Крепостное право - не рабство.Но о такой раздаче первый раз слышу,вы вообще о чём?;0;;Н3;4
6588;83740;175632;5649943;175559;25106701;18.03.2015 13:45;[id7940380|Ольга], то есть вы в принципе были бы не против, если бы вас приписали к земле и заставили отрабатывать барщину и десятину? Или вы сочли бы это все-таки рабством?;0;;Ш3;4
6589;83741;175633;5649943;175559;25106701;18.03.2015 13:47;[id7940380|Ольга], я о том, что вы рассуждаете о чем-то, что кажется вам таким безумно идеально красивым. Крепостничество вы никогда не примеряли на себя. Вы не представляете каково это быть бесправным человеком в подчинении какой-то Салтычихи. <br><br>И вы бросаетесь защищать крепостное право, разбрасываясь направо ярлыками, клеймя всех вокруг.;0;;Т3;4
6590;83742;175634;7940380;175559;25106701;18.03.2015 13:47;[id5649943|Михаил], при чём тут я?С тем же успехом можно назвать рабством офисную работу-ведь там хоть расшибись,а в контору каждый день к 8,да ещё и работать надо.;0;;Ф3;4
6591;83743;175635;5649943;175559;25106701;18.03.2015 13:48;[id7940380|Ольга], тогда вы понятия не имеете что такое крепостное право, если сравниваете это с офисной работой.;0;;Ч3;4
6592;83744;175636;7940380;175559;25106701;18.03.2015 13:49;[id5649943|Михаил], Салтычиха была жестко наказана,если вы не знали.А вот американские плантаторы были неподсудны.Одно из отличий крепостного права и рабства.;0;;П4;4
6593;83745;175637;5649943;175559;25106701;18.03.2015 13:49;[id7940380|Ольга], откуда все время всплывает Америка???<br>Почему Вам она так интересна?;0;;А3;4
6594;83746;175638;5649943;175559;25106701;18.03.2015 13:51;[id7940380|Ольга], это замечательно, что Салтычиха наказана.<br>А все остальные??? Она одна пользовалась своим правом хозяина сполна?<br>А то, что русских продавали наряду с борзыми и вороными вас не беспокоит?;0;;В4,Т3;4
6595;83747;175639;5649943;175559;25106701;18.03.2015 13:55;[id7940380|Ольга], вот, пожалуйста: Вас, уважамая Ольга дочь Александрова даже отдельно продавать бы стали только в случае если вы не замужем. А замужняя женщина шла придатком к продаваемому мужчине. http://vk.com/photo-25106701_356794289 http://vk.com/photo-25106701_356794290;0;;У3;4
6596;83748;175640;7940380;175559;25106701;18.03.2015 13:57;[id5649943|Михаил], крепостной имел право на имущество,раб нет.Крепостной имел право на семью-раб нет.Крепостного нельзя было продать без семьи(что видно на ваших картинках),раба хоть по частям.Помещики конечно нарушали и продавали,но это было нарушением закона и те,кто попался - лишались дворянства.<br>Салтычиха была наказана по закону,у американских рабовладельцев такого закона не было.<br>Дети крепостных могли учиться,детям рабов учиться было запрещено.Помещик не имел права трогать крепостных девушек,плантатор имел.Крепостной имел статус человека,раб-вещи.;0;;И4;4
6597;83749;175641;5649943;175559;25106701;18.03.2015 13:57;[id7940380|Ольга], я не говорю, что  Россия - это  фи . Это наша страна и страницы его прошлого - свершившийся факт.<br><br>Но так вот рьяно отбеливать Крепостничество, возводит его в ранг идеалов русского общества - это уже перекос.;0;;Ф3;4
6598;83750;175642;5649943;175559;25106701;18.03.2015 13:57;[id7940380|Ольга], то есть вы соглашаетесь быть проданным в придачу к своему супругу?;0;;С3;4
6599;83751;175643;7940380;175559;25106701;18.03.2015 13:58;[id5649943|Михаил], парень,ты реально тугодум!Удачи.;0;;Н3,Г3;4
6600;83752;175644;5649943;175559;25106701;18.03.2015 13:58;[id7940380|Ольга], а про рабство вы откуда берете сведения?<br>Опять и снова ваша любимая Америка???;0;;Н3;4
6601;83753;175645;5649943;175559;25106701;18.03.2015 13:59;[id7940380|Ольга], до свидания. И вам не хворать. ??<br><br>Всегда приятно поговорить с умной и интеллигентной женщиной. ??<br>Которая, кстати, не против стать крепостной ??;0;;Г3,Ш3;4
6602;83754;175658;235920235;175559;25106701;18.03.2015 14:30;[id33918188|Алла], кто хотел, тот понял, внятная речь бывает только в устном изложении материала.));0;;Ш3;4
6603;83755;175787;27109832;175559;25106701;18.03.2015 19:19;[id5649943|Михаил], именно так,адекватно;0;;В3;4
6604;83756;175819;5649943;175559;25106701;18.03.2015 20:22;[id27109832|Никита], )));0;;В3;4
6605;83757;176634;16370093;175559;25106701;19.03.2015 16:37;дайбелизмь.;0;;Ш3;4
