;Unnamed: 0;Id of comment.;Id of author of comment.;Id of post;Author of post;date;text;likes;Unnamed: 7;Интент;Контент
1104;7856;21947;139095421;21914;21337773;2015-04-11 17:51:04;[id59192830|Максим], украина встречает  братьев  жыль что они на самом же деле совсем не те за кого себя выдают. из-за таких упырей как ты воюют страны. ты имбецил. http://vk.com/photo-21337773_361320115;0;;Л3;4
1105;7857;21948;139095421;21914;21337773;2015-04-11 17:51:24;[id59192830|Максим], http://vk.com/photo-21337773_361320141;0;;Ш4;4
1106;7858;21949;59192830;21914;21337773;2015-04-11 18:02:15;[id139095421|Віктор], ЭТО я имбицил ??? это я скакал на майдане ??? это я орал москалей на ножи и забрасывал камнями ментов раскалывая страну , это я жог людей в одессе пытаясь запугать тех для кого бендера хуй с бугра ???? Ты типичное бедерский петушара сам накуралесили и вовсем москали вынни че не в армии че сидишь в инете и хуясосишь всех ??? Ты говоришь страны воюют ??? КАКИЕ ??? ОБСЕ ненашла никаких доказательств присуцтвия войск рф оон тоже , сов без оон тоже и ты мне чешешь о каких то руских войсках на украине ????И это при том что 61 генерал нато на пенсии и 3 министра обороны ес говорят что при столкновеннии РФ с Украиной Украины нестанет за 1 месяц http://vk.com/photo-21337773_361321334 http://vk.com/photo59192830_351306068;1;;Ф3,Т3;4
1107;7859;21950;59192830;21914;21337773;2015-04-11 18:03:19;[id139095421|Віктор], http://vk.com/photo59192830_339685403 http://vk.com/photo59192830_348318986;0;;Ш4;4
1108;7860;21951;59192830;21914;21337773;2015-04-11 18:16:16;[id139095421|Віктор], https://vk.com/videos-65614662?z=video-65614662_170098796%2Fclub65614662%2Calbum-65614662 http://vk.com/video-65614662_170098796;0;;Ш4;4
1109;7861;21952;40344266;21914;21337773;2015-04-11 22:06:16;[id59192830|Максим], имбецил, война в Украине началась с захвата Крыма<br>а кто его захватил?<br> хуйло уже признался в этом<br><br>какие ще вопросы, нафиг?;0;;Т4,Л3;4
1110;7862;21953;59192830;21914;21337773;2015-04-11 23:08:47;[id40344266|Andrei], путин начал беспредел на майдане ???или путин первый начал обстреливать города ДНР ???? или путин сейчас измывается над людьми в днр на окупированой всу теретории или во время крыских событий тут стреляли в друг друга ???Я с кривбаса но сейчас работаю в крыму потому что благодаря майдану работы поубавилось дома и я общаюсь с людьми и они реально благодарны что с ними не тоже самое что на донбасе;0;;"Ф4; Е1";4
1111;7863;21954;40344266;21914;21337773;2015-04-11 23:26:11;[id59192830|Максим], ты идиот<br>я говорил о ВОЙНЕ, а не о кипеше на Майдане<br>и, как выясняется, по людям таки стреляли россиские мудаки в шкуре милиции...<br><br>как ВСУ могут оккупировать террирориу Украины?<br>они у СЕБЯ ДОМА, в отличие от всяких зелёных мудаков<br><br>а что, обстрел лугандонии проходил по мирным и невооруженным людям?;0;;Т4,Л3;4
1112;7864;21955;59192830;21914;21337773;2015-04-11 23:40:13;[id40344266|Andrei], идиот ты и твой деде по гороскопу как росийские мудаки могли стерлять с гостницы украина которая была целиком и полностью под контролем майдана ах да я забыл щас модно обвинять во всех бедах путина и россию оказывается это россия виновата в том что честный петя не продал бизнес ))))Баклан твой страна агрессор дает твоему государству скидку на газ но тут еще можно списать на транзит а какого хуя ежемесячно поставляется 600 тыс тон энергетического угля и 9 милн к ват электроэнергии в месяц поВНУТРИ РОССИЙСКИМ А НЕ МИРОВЫМ ЦЕНАМ с декабря благодаря чему энергетика незалежности выстояла и почти работала в штатном режиме ???ЭТО что одной рукой РФ лечит а другой калечит ???Когда всу лупят по жилым кварталам города и гибнут дети и мирные люди это что вооруженные боевики или ты хочешь сказать что они себя сами обстреляли сами спалили сами себя побили бля ты че вообще ебнутый ???Или украина за год стала страногй мазахистов что касается что всу гдето там у себя дома так почитай что такое окупация ,А это тогда когда как миниум 80 % населения територии неподдерживает или ненавидит правительство и против того чтобы их земли входили в состав того или иного государства или ты хочешь сказать что местные жители хорошо относятся к бухарям которых туда нагнали и те которые нажрутся и летрают на танках по городу ????;0;;"Л3; Ф3,Ч4";4
1113;7865;21957;40344266;21914;21337773;2015-04-12 02:06:39;[id59192830|Максим], моей стране росия никакую скидку не даёт...<br>в моей стране уже 23 года как  русский мир  и именно поэтому я могу делать сравнения и понимать, что происходит и зачем...<br>а то, что порох не продал бизнес...<br>ну а ты бы продал?<br>и кому?<br>а так немалые деньги ВЫходят из бюджета РФ...;0;;Ф3,А3;4
1114;7866;21963;59192830;21914;21337773;2015-04-12 11:48:38;[id40344266|Andrei], а причем прохор и кто он такой или он занимает какието гос чины если ты не знал то он вышел уже из своей полит партии гржданская платформа???это раз где и сколько убегает из бютжета покажи желательно бугалтерию это два а три типичный дятел который даже не знает что по новостям незалежности говорил укр министр топлива и энергетики это три;0;;Н3,Н4;4
1115;7867;21964;59192830;21914;21337773;2015-04-12 11:51:05;[id40344266|Andrei], и да запомни это во всем путин и россия виноваты а украина и украинцы это сука карамельный народ которому вечно какието москали мешают жить https://vk.com/feed?z=photo-15264047_360795270%2Falbum-15264047_00%2Frev http://vk.com/photo-15264047_360795270;0;;Ц4,Л4;4
1116;7868;21987;40344266;21914;21337773;2015-04-12 20:04:04;[id59192830|Максим], открываем глазки и читаем внимательно<br>вникая в значение КАЖДОГО СЛОВА<br><br>МОЕЙ стране росия никакую скидку не даёт...<br>в МОЕЙ стране уже 23 года как  русский мир  и именно поэтому я могу делать сравнения и понимать, что происходит и зачем...<br><br>и, таки да, МОЕЙ стране постоянно москали мешают...<br><br>и я писал ПОРОХ - т.е. Порошенко какие чины он занимает, писать излишне;0;;Ц4;4
1117;7869;21988;59192830;21914;21337773;2015-04-12 20:06:32;[id40344266|Andrei], ну да ну да карамельный парень не в чем невиноват ну так сейчас в твоей стране нет руского мира и разебальня еще хуже и чет я нихера не вижу что ты какието выводы со своих сравнений зделал )));0;;Л3;4
1118;7870;21991;40344266;21914;21337773;2015-04-12 20:40:04;[id59192830|Максим], дебилу объясняю еще раз <br>в МОЕЙ стране уже 23 мгода  русский мир <br><br>Ты бы хоть задумался, спросил - о какой стране я говорю?<br>так нет же, ватники всегда все знают лучше всех...<br><br>и в догонку к тому принтскрину<br><br>а чем тебе не нравится отмена понятия  Великая Отечественная Война ?<br><br>расскажи нам каким боком относятся к ВОВ следующие события<br><br>- 1939 г. совместное с фашистами нападение Советов на Польшу, расстрел польских военнослужащих (40 ТЫСЯЧ БРАТЬЕВ СЛАВЯН)<br>- 1939 нападение Советов на Финляндию<br>- 1940 нападение Советов на Румынское Королевство, оккупация Бессарабии<br>это тоже части ВТОРОЙ МИРОВОЙ ВОЙНЫ, только советская армия в этих случаеях не защищала Отечество, а ОККУПИРОВАЛА другие страны. <br><br>Почему расея СТИРАЕТ ЭТО ИЗ ИСТОРИИ? А какже подвиги дедов-ветеранов?<br>Ладно, от первой мировой отмазались, дескать  империалистическая война , кстати, ее, сначала, тоже называли ОТЕЧЕСТВЕННОЙ. Почему советы отказались от Отечества?... <br><br>А от этих войн как отмазываются? Их тоже царская власть развязала? Не советская? в;0;;Т4;4
1119;7871;21992;59192830;21914;21337773;2015-04-12 20:45:09;[id40344266|Andrei], ебать ты или вася иии просто дятел вторая мировая война началась 1 сентября 1939 года с нападения на польшу германии и закончилась 2 сентября 1945 года скапитуляцией японии;0;;Л3;4
1120;7872;21993;40344266;21914;21337773;2015-04-12 20:51:39;[id59192830|Максим], и что я неправильно написал?<br>я написал о некоторых частях из МИРОВОЙ войны,<br>конечно там есть еще куча нападений<br>Италия, Япония, США<br><br>но я сосредоточился на советах и их нападениях...<br>расскажи нам, что о них тебе рассказывали в школе?;0;;А3,И4;4
1121;7873;21994;59192830;21914;21337773;2015-04-12 20:51:49;[id40344266|Andrei], а великая отечественная война война началась 22 июня 1941 и закончилась 1945 8го мая ( всегда удевляло пчему 9го празднуем ) и именно в этот период понесли самые огромные человеческие жертвы , именно в этот период СССР потерял 20 миллионов человек больше чем кто бы то нибыл , именно в этот период совецкий народ боролся за свое отечество и просто за право существовать и благодаря им а не бендербеям которых бы фрицы перестреляли по лесам пидары вроде тебя сейчас живут;0;;И4,Л3;4
1122;7874;21995;59192830;21914;21337773;2015-04-12 20:53:52;[id40344266|Andrei], я в школе 3 е место по области на олимпиаде получил по тематике 1й 2й мировый войны а также ок морских сраженияй руско японской войны 1905 года;0;;Ф3;4
1123;7875;21996;59192830;21914;21337773;2015-04-12 20:54:52;[id40344266|Andrei], то что мне в школе рсказывали крупица с того что я прочел из книг и архивов;0;;И4;4
1124;7876;21997;40344266;21914;21337773;2015-04-12 21:01:05;[id59192830|Максим], н у вот ты сам показал, что Советы стерли и наплевали на исторический факт - капитуляцию Германии, вступающую в силу с 8-го !!!!!!! мая<br>а праздновлаи пустышку - 9.<br><br>итак, объясняю тупому <br>Понятие Великая Отечественная может пользоваться ТОЛЬКО среди граждан тех стран, которые на момент 1941 г, ДОБРОВОЛЬНО входили в состав СССР. Для Бессарабии, например СССР был ОККУПАНТОМ, так что ни о какой Великой Отечественной не может быть и речи<br>также этим понятием НЕ могут пользоваться и граждане других стран - США, Франция, например... СССР не их Отечество. Думаю, это достаточно понятно...<br><br>Но, так или иначе, Германо-советская война тоже является частью Второй Мировй войны.;0;;Ч3,Ч4;4
1125;7877;21998;40344266;21914;21337773;2015-04-12 21:02:46;[id59192830|Максим], в таком слухае, ты тупой олимпиец<br>поздравляю<br><br>я не спрашивал тебя о русскояпонской войне, и о твоих наградах<br><br>я спросил конкретно вот о ТЕХ событиях<br>и подчеркиваю,  что о них рассказывалось в ШКОЛЕ? ;0;;Н3;4
1126;7878;22000;59192830;21914;21337773;2015-04-12 21:11:42;[id40344266|Andrei], тупой здесь только ты я не говорил что ВОВ не часть второй мировой , и если ты считаешь что 9е мая это совецкая пустышка то ты просто идиот , который даже не не понимает что если день победы это в первую очередь празник память подвигу и жертве красной армии и памчть о погибших что бы не забывали , и раз уж на то пошло то адмирал денниц сдался еще 6го мая в день георгия победоносца ( это мадаунам на заметку откуда вообще взялась георгевская лента 9 го мая ) как приемник гитлера и второй день победы ( прикинь и такой был ) празновали 2 го сентября в день капитуляции японии ведь СССР потом и квантунскую армию разнес в манжурии, и в школе нам расказывали о начале войны о первых ее фазах и о деребане польши и о финско совецкой войне и о всем том что ты написал мне я знал а еще нам расказывали о подвигах красной армии и о тех потерях которые понесла наша родина за ВОВ;1;;"Л3; Ж4";4
1127;7879;22010;40344266;21914;21337773;2015-04-13 00:23:37;[id59192830|Максим], дебилу повторяю<br> День Победы - 7 Мая, когда была ПОДПИСАНА капитуляция Германии<br>и 8 Мая, когда эта капитуляция вступила в силу<br><br>а пустышкой я назвал 9 Мая<br><br>вот у тебя День рождения когда? 27 или 29 сентября?<br><br>и еще раз повторяю свой вопрос<br><br>ЧТО, ЧТО, ЧТО вам рассказывали в школе о тех событиях о которых я маписал?<br>Как объясняли факт, что красная армия НАПАДАЛА на соседние госдарства?;0;;А3,Т4;4
1128;7880;22014;59192830;21914;21337773;2015-04-13 09:59:54;[id40344266|Andrei], очень просто после пакта молотова рибентропа стало ясно что германия так или иначе окупирует всю европу , и советское руководство просто решило ухватить свою часть пирога , кстати этой версии и придерживаюся в европе дятел и для тех кто не учил историю в школе повторю адмирал денниц подписал не 7 го а 6 го мая перед союзниками акт о капитуляции но совецкое командывание решило что нужно еще раз перед камерами и журналистами публично унизить германию и перенесли это действие на 8е мая и некто даже не думал перечить стране понесшей больше всего потерь от немцев и акт о капитуляции вступил в действие сеюминутно вася а и день победы можно было бы сделвть и 10 и 11 го и 12 мая не суть суть то что этот празник символизирует если для тея это пустыка то кто из нас дебил;0;;Ж4,Ф3;4
1129;7881;22137;40344266;21914;21337773;2015-04-14 18:56:16;[id59192830|Максим], ну День Победы - эт тогда, когда была победа,<br>день рождения, это день, в котором человек родился...<br>что еще сказать?<br><br>а если гoвпришь, что можно было сделать в любой другой день...<br>ну так не знаю<br>почему же его не на 23 июня? 1941 года...<br>Слабо было?<br><br>и тебе, дебилу, еще раз повтояю, для меня пустышка не Победа, а пустая дата - 9 Мая, которую назначили праздником;0;;Б3,С3;4
1130;7882;22138;59192830;21914;21337773;2015-04-14 18:59:13;[id40344266|Andrei], ну ты знаешь 22 июня это день траура о всех погибших во второй мировой войне и я сомневаюсь что после траура можно сделать праздник дятел;0;;Ф3;4
1131;7883;22139;40344266;21914;21337773;2015-04-14 19:01:37;[id59192830|Максим], ты не только дебил, ты еще и слепой<br>я писал 23 июня 1941!!!!!!!!!!!!!!!!!!!!!!<br>то есть, надо было победу праздновать уже на следующиой день<br>начистить рыло немцам сразу же, и праздновать...;0;;Ц4;4
1132;7884;22152;59192830;21914;21337773;2015-04-14 22:12:34;[id40344266|Andrei], да нет это ты упортый дятел хотелбы я посмотреть как ты начистил рыло за сутки 2й по силе армии европы на тот момент , плюс Сталин сука отдал приказ нестрелять придурок , 5 мил чел 2500 танков авиация не в счет ее тогда у красной армии толковой небыло и это все буквально за неделю боев просрать , когда к нему пришли на его дачу через 24го он просто испугано стоял и смотрел на маршалов думая что они пришли его арестовать за его ошибку но все же повезло ему с преданостью его людей;0;;ЛЗ,Ч4;4
1133;7885;22411;40344266;21914;21337773;2015-04-17 13:37:51;[id59192830|Максим], это не я упоротый, а ты и твои кремлёвские владельцы<br>как ты сказал, что можно было назначить Днем Победы, любой день, то надо было назначать 23 Июня 1941 г, ну или 1949...<br>какая разница, если все равно, саму годовщину ПОбеды не празднуете?;0;;Л3,Ч4;4
1134;7886;22413;59192830;21914;21337773;2015-04-17 14:14:07;[id40344266|Andrei], а при чем тут 1941 или 49й если победа в 45 была и годовщину все празднуют или тебе лижбы до чегото доебатся неможешь оспорить что Ссср победил гитлера а не твои бндерские шохи так хоть доебусь до даты или ее ахуеть как сместили прям на месяц или на год какая разница 8го или 9го праздновать ???;0;;Л4;4
